team1,team2,winner,venue,city,date,toss_winner
Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2017-04-05,Royal Challengers Bangalore
Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Pune,2017-04-06,Rising Pune Supergiant
Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,Rajkot,2017-04-07,Kolkata Knight Riders
Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,Holkar Cricket Stadium,Indore,2017-04-08,Kings XI Punjab
Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Bengaluru,2017-04-08,Royal Challengers Bangalore
Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2017-04-09,Sunrisers Hyderabad
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,Mumbai,2017-04-09,Mumbai Indians
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Holkar Cricket Stadium,Indore,2017-04-10,Royal Challengers Bangalore
Rising Pune Supergiant,Delhi Daredevils,Delhi Daredevils,Maharashtra Cricket Association Stadium,Pune,2017-04-11,Rising Pune Supergiant
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,Mumbai,2017-04-12,Mumbai Indians
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,Kolkata,2017-04-13,Kolkata Knight Riders
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,2017-04-14,Mumbai Indians
Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,Saurashtra Cricket Association Stadium,Rajkot,2017-04-14,Gujarat Lions
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,Kolkata,2017-04-15,Sunrisers Hyderabad
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Feroz Shah Kotla,Delhi,2017-04-15,Delhi Daredevils
Mumbai Indians,Gujarat Lions,Mumbai Indians,Wankhede Stadium,Mumbai,2017-04-16,Mumbai Indians
Royal Challengers Bangalore,Rising Pune Supergiant,Rising Pune Supergiant,M Chinnaswamy Stadium,Bangalore,2017-04-16,Royal Challengers Bangalore
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Feroz Shah Kotla,Delhi,2017-04-17,Delhi Daredevils
Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2017-04-17,Kings XI Punjab
Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,Saurashtra Cricket Association Stadium,Rajkot,2017-04-18,Gujarat Lions
Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2017-04-19,Sunrisers Hyderabad
Kings XI Punjab,Mumbai Indians,Mumbai Indians,Holkar Cricket Stadium,Indore,2017-04-20,Mumbai Indians
Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,Eden Gardens,Kolkata,2017-04-21,Gujarat Lions
Mumbai Indians,Delhi Daredevils,Mumbai Indians,Wankhede Stadium,Mumbai,2017-04-22,Delhi Daredevils
Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Pune,2017-04-22,Rising Pune Supergiant
Gujarat Lions,Kings XI Punjab,Kings XI Punjab,Saurashtra Cricket Association Stadium,Rajkot,2017-04-23,Gujarat Lions
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,Kolkata,2017-04-23,Royal Challengers Bangalore
Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,Wankhede Stadium,Mumbai,2017-04-24,Mumbai Indians
Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Pune,2017-04-26,Kolkata Knight Riders
Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,M Chinnaswamy Stadium,Bangalore,2017-04-27,Gujarat Lions
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Eden Gardens,Kolkata,2017-04-28,Kolkata Knight Riders
Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,2017-04-28,Kings XI Punjab
Rising Pune Supergiant,Royal Challengers Bangalore,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Pune,2017-04-29,Royal Challengers Bangalore
Gujarat Lions,Mumbai Indians,No Result,Saurashtra Cricket Association Stadium,Rajkot,2017-04-29,Gujarat Lions
Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,2017-04-30,Kings XI Punjab
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2017-04-30,Kolkata Knight Riders
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,Mumbai,2017-05-01,Royal Challengers Bangalore
Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Pune,2017-05-01,Rising Pune Supergiant
Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,Feroz Shah Kotla,Delhi,2017-05-02,Delhi Daredevils
Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,Eden Gardens,Kolkata,2017-05-03,Rising Pune Supergiant
Delhi Daredevils,Gujarat Lions,Delhi Daredevils,Feroz Shah Kotla,Delhi,2017-05-04,Delhi Daredevils
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,M Chinnaswamy Stadium,Bangalore,2017-05-05,Royal Challengers Bangalore
Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2017-05-06,Sunrisers Hyderabad
Delhi Daredevils,Mumbai Indians,Mumbai Indians,Feroz Shah Kotla,Delhi,2017-05-06,Delhi Daredevils
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,M Chinnaswamy Stadium,Bangalore,2017-05-07,Kolkata Knight Riders
Kings XI Punjab,Gujarat Lions,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,2017-05-07,Gujarat Lions
Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2017-05-08,Mumbai Indians
Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,2017-05-09,Kolkata Knight Riders
Gujarat Lions,Delhi Daredevils,Delhi Daredevils,Green Park,Kanpur,2017-05-10,Delhi Daredevils
Mumbai Indians,Kings XI Punjab,Kings XI Punjab,Wankhede Stadium,Mumbai,2017-05-11,Mumbai Indians
Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,Feroz Shah Kotla,Delhi,2017-05-12,Delhi Daredevils
Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Green Park,Kanpur,2017-05-13,Sunrisers Hyderabad
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Eden Gardens,Kolkata,2017-05-13,Kolkata Knight Riders
Rising Pune Supergiant,Kings XI Punjab,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Pune,2017-05-14,Rising Pune Supergiant
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi,2017-05-14,Royal Challengers Bangalore
Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,Wankhede Stadium,Mumbai,2017-05-16,Mumbai Indians
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,M Chinnaswamy Stadium,Bangalore,2017-05-17,Kolkata Knight Riders
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,2017-05-19,Mumbai Indians
Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2017-05-21,Mumbai Indians
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Wankhede Stadium,Mumbai,2018-04-07,Chennai Super Kings
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Chandigarh,2018-04-08,Kings XI Punjab
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Eden Gardens,Kolkata,2018-04-08,Kolkata Knight Riders
Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Hyderabad,2018-04-09,Sunrisers Hyderabad
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,MA Chidambaram Stadium,Chennai,2018-04-10,Chennai Super Kings
Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2018-04-11,Delhi Daredevils
Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Hyderabad,2018-04-12,Sunrisers Hyderabad
Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Bengaluru,2018-04-13,Royal Challengers Bangalore
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Wankhede Stadium,Mumbai,2018-04-14,Delhi Daredevils
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Eden Gardens,Kolkata,2018-04-14,Sunrisers Hyderabad
Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,M.Chinnaswamy Stadium,Bengaluru,2018-04-15,Royal Challengers Bangalore
Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Chandigarh,2018-04-15,Chennai Super Kings
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Eden Gardens,Kolkata,2018-04-16,Delhi Daredevils
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,Mumbai,2018-04-17,Royal Challengers Bangalore
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Sawai Mansingh Stadium,Jaipur,2018-04-18,Kolkata Knight Riders
Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Chandigarh,2018-04-19,Kings XI Punjab
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Maharashtra Cricket Association Stadium,Pune,2018-04-20,Rajasthan Royals
Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,Eden Gardens,Kolkata,2018-04-21,Kings XI Punjab
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Bengaluru,2018-04-21,Royal Challengers Bangalore
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,Rajiv Gandhi International Stadium,Hyderabad,2018-04-22,Sunrisers Hyderabad
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2018-04-22,Mumbai Indians
Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,Arun Jaitley Stadium,Delhi,2018-04-23,Delhi Daredevils
Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,Mumbai,2018-04-24,Mumbai Indians
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,M.Chinnaswamy Stadium,Bengaluru,2018-04-25,Chennai Super Kings
Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Hyderabad,2018-04-26,Kings XI Punjab
Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Arun Jaitley Stadium,Delhi,2018-04-27,Kolkata Knight Riders
Chennai Super Kings,Mumbai Indians,Mumbai Indians,Maharashtra Cricket Association Stadium,Pune,2018-04-28,Mumbai Indians
Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Sawai Mansingh Stadium,Jaipur,2018-04-29,Sunrisers Hyderabad
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,M.Chinnaswamy Stadium,Bengaluru,2018-04-29,Kolkata Knight Riders
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Maharashtra Cricket Association Stadium,Pune,2018-04-30,Delhi Daredevils
Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Bengaluru,2018-05-01,Mumbai Indians
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Arun Jaitley Stadium,Delhi,2018-05-02,Rajasthan Royals
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Eden Gardens,Kolkata,2018-05-03,Kolkata Knight Riders
Kings XI Punjab,Mumbai Indians,Mumbai Indians,Holkar Cricket Stadium,Indore,2018-05-04,Mumbai Indians
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Maharashtra Cricket Association Stadium,Pune,2018-05-05,Chennai Super Kings
Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Hyderabad,2018-05-05,Delhi Daredevils
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,Mumbai,2018-05-06,Kolkata Knight Riders
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Holkar Cricket Stadium,Indore,2018-05-06,Kings XI Punjab
Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Hyderabad,2018-05-07,Royal Challengers Bangalore
Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2018-05-08,Rajasthan Royals
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Kolkata,2018-05-09,Kolkata Knight Riders
Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,Arun Jaitley Stadium,Delhi,2018-05-10,Delhi Daredevils
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2018-05-11,Chennai Super Kings
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Holkar Cricket Stadium,Indore,2018-05-12,Kings XI Punjab
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Arun Jaitley Stadium,Delhi,2018-05-12,Royal Challengers Bangalore
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Maharashtra Cricket Association Stadium,Pune,2018-05-13,Chennai Super Kings
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Wankhede Stadium,Mumbai,2018-05-13,Rajasthan Royals
Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,Holkar Cricket Stadium,Indore,2018-05-14,Royal Challengers Bangalore
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Eden Gardens,Kolkata,2018-05-15,Kolkata Knight Riders
Mumbai Indians,Kings XI Punjab,Mumbai Indians,Wankhede Stadium,Mumbai,2018-05-16,Kings XI Punjab
Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Bengaluru,2018-05-17,Sunrisers Hyderabad
Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,Arun Jaitley Stadium,Delhi,2018-05-18,Chennai Super Kings
Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2018-05-19,Rajasthan Royals
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Rajiv Gandhi International Stadium,Hyderabad,2018-05-19,Sunrisers Hyderabad
Delhi Daredevils,Mumbai Indians,Delhi Daredevils,Arun Jaitley Stadium,Delhi,2018-05-20,Delhi Daredevils
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Maharashtra Cricket Association Stadium,Pune,2018-05-20,Chennai Super Kings
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Wankhede Stadium,Mumbai,2018-05-22,Chennai Super Kings
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Eden Gardens,Kolkata,2018-05-23,Rajasthan Royals
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Kolkata,2018-05-25,Kolkata Knight Riders
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Wankhede Stadium,Mumbai,2018-05-27,Chennai Super Kings
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,MA Chidambaram Stadium,Chennai,2019-03-23,Chennai Super Kings
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Eden Gardens,Kolkata,2019-03-24,Kolkata Knight Riders
Delhi Capitals,Mumbai Indians,Delhi Capitals,Wankhede Stadium,Mumbai,2019-03-24,Mumbai Indians
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,Jaipur,2019-03-25,Rajasthan Royals
Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Arun Jaitley Stadium,Delhi,2019-03-26,Delhi Capitals
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,Kolkata,2019-03-27,Kings XI Punjab
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,M.Chinnaswamy Stadium,Bengaluru,2019-03-28,Royal Challengers Bangalore
Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Hyderabad,2019-03-29,Rajasthan Royals
Mumbai Indians,Kings XI Punjab,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Chandigarh,2019-03-30,Kings XI Punjab
Kolkata Knight Riders,Delhi Capitals,No Result,Arun Jaitley Stadium,Delhi,2019-03-30,Delhi Capitals
Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Hyderabad,2019-03-31,Royal Challengers Bangalore
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,MA Chidambaram Stadium,Chennai,2019-03-31,Rajasthan Royals
Kings XI Punjab,Delhi Capitals,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Chandigarh,2019-04-01,Delhi Capitals
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2019-04-02,Rajasthan Royals
Mumbai Indians,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Mumbai,2019-04-03,Chennai Super Kings
Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Arun Jaitley Stadium,Delhi,2019-04-04,Sunrisers Hyderabad
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,M.Chinnaswamy Stadium,Bengaluru,2019-04-05,Kolkata Knight Riders
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,MA Chidambaram Stadium,Chennai,2019-04-06,Chennai Super Kings
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Rajiv Gandhi International Stadium,Hyderabad,2019-04-06,Sunrisers Hyderabad
Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,M.Chinnaswamy Stadium,Bengaluru,2019-04-07,Delhi Capitals
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Sawai Mansingh Stadium,Jaipur,2019-04-07,Kolkata Knight Riders
Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Chandigarh,2019-04-08,Kings XI Punjab
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,MA Chidambaram Stadium,Chennai,2019-04-09,Chennai Super Kings
Kings XI Punjab,Mumbai Indians,Mumbai Indians,Wankhede Stadium,Mumbai,2019-04-10,Mumbai Indians
Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Sawai Mansingh Stadium,Jaipur,2019-04-11,Chennai Super Kings
Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Eden Gardens,Kolkata,2019-04-12,Delhi Capitals
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Wankhede Stadium,Mumbai,2019-04-13,Rajasthan Royals
Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,Punjab Cricket Association IS Bindra Stadium,Chandigarh,2019-04-13,Royal Challengers Bangalore
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Eden Gardens,Kolkata,2019-04-14,Chennai Super Kings
Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,Rajiv Gandhi International Stadium,Hyderabad,2019-04-14,Sunrisers Hyderabad
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Wankhede Stadium,Mumbai,2019-04-15,Mumbai Indians
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Chandigarh,2019-04-16,Rajasthan Royals
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Hyderabad,2019-04-17,Chennai Super Kings
Mumbai Indians,Delhi Capitals,Mumbai Indians,Arun Jaitley Stadium,Delhi,2019-04-18,Mumbai Indians
Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata,2019-04-19,Kolkata Knight Riders
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2019-04-20,Rajasthan Royals
Kings XI Punjab,Delhi Capitals,Delhi Capitals,Arun Jaitley Stadium,Delhi,2019-04-20,Delhi Capitals
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Hyderabad,2019-04-21,Sunrisers Hyderabad
Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Bengaluru,2019-04-21,Chennai Super Kings
Rajasthan Royals,Delhi Capitals,Delhi Capitals,Sawai Mansingh Stadium,Jaipur,2019-04-22,Delhi Capitals
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,MA Chidambaram Stadium,Chennai,2019-04-23,Chennai Super Kings
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Bengaluru,2019-04-24,Kings XI Punjab
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Eden Gardens,Kolkata,2019-04-25,Rajasthan Royals
Mumbai Indians,Chennai Super Kings,Mumbai Indians,MA Chidambaram Stadium,Chennai,2019-04-26,Chennai Super Kings
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2019-04-27,Rajasthan Royals
Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,Arun Jaitley Stadium,Delhi,2019-04-28,Delhi Capitals
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Eden Gardens,Kolkata,2019-04-28,Mumbai Indians
Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Hyderabad,2019-04-29,Kings XI Punjab
Royal Challengers Bangalore,Rajasthan Royals,No Result,M.Chinnaswamy Stadium,Bengaluru,2019-04-30,Rajasthan Royals
Chennai Super Kings,Delhi Capitals,Chennai Super Kings,MA Chidambaram Stadium,Chennai,2019-05-01,Delhi Capitals
Mumbai Indians,Sunrisers Hyderabad,No Result,Wankhede Stadium,Mumbai,2019-05-02,Mumbai Indians
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,Chandigarh,2019-05-03,Kolkata Knight Riders
Rajasthan Royals,Delhi Capitals,Delhi Capitals,Arun Jaitley Stadium,Delhi,2019-05-04,Rajasthan Royals
Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Bengaluru,2019-05-04,Royal Challengers Bangalore
Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Chandigarh,2019-05-05,Kings XI Punjab
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Wankhede Stadium,Mumbai,2019-05-05,Mumbai Indians
Chennai Super Kings,Mumbai Indians,Mumbai Indians,MA Chidambaram Stadium,Chennai,2019-05-07,Chennai Super Kings
Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,2019-05-08,Delhi Capitals
Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,2019-05-10,Chennai Super Kings
Mumbai Indians,Chennai Super Kings,Mumbai Indians,Rajiv Gandhi International Stadium,Hyderabad,2019-05-12,Mumbai Indians
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Sheikh Zayed Stadium,Abu Dhabi,2020-09-19,Chennai Super Kings
Delhi Capitals,Kings XI Punjab,No Result,Dubai International Cricket Stadium,,2020-09-20,Kings XI Punjab
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Sheikh Zayed Stadium,Abu Dhabi,2020-10-21,Kolkata Knight Riders
Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Sharjah Cricket Stadium,,2020-11-03,Sunrisers Hyderabad
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Sharjah Cricket Stadium,,2020-09-22,Chennai Super Kings
Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,Sheikh Zayed Stadium,Abu Dhabi,2020-10-24,Delhi Capitals
Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,Dubai International Cricket Stadium,,2020-10-24,Sunrisers Hyderabad
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Sheikh Zayed Stadium,Abu Dhabi,2020-10-28,Mumbai Indians
Delhi Capitals,Rajasthan Royals,Delhi Capitals,Sharjah Cricket Stadium,,2020-10-09,Rajasthan Royals
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Sheikh Zayed Stadium,Abu Dhabi,2020-10-07,Kolkata Knight Riders
Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,Sharjah Cricket Stadium,,2020-10-31,Sunrisers Hyderabad
Mumbai Indians,Kings XI Punjab,Mumbai Indians,Sheikh Zayed Stadium,Abu Dhabi,2020-10-01,Kings XI Punjab
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Dubai International Cricket Stadium,,2020-09-30,Rajasthan Royals
Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,Sheikh Zayed Stadium,Abu Dhabi,2020-11-02,Delhi Capitals
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Sheikh Zayed Stadium,Abu Dhabi,2020-11-01,Chennai Super Kings
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Dubai International Cricket Stadium,,2020-10-11,Sunrisers Hyderabad
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Sheikh Zayed Stadium,Abu Dhabi,2020-09-23,Kolkata Knight Riders
Chennai Super Kings,Delhi Capitals,Delhi Capitals,Sharjah Cricket Stadium,,2020-10-17,Chennai Super Kings
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Dubai International Cricket Stadium,,2020-09-24,Royal Challengers Bangalore
Mumbai Indians,Rajasthan Royals,Mumbai Indians,Sheikh Zayed Stadium,Abu Dhabi,2020-10-06,Mumbai Indians
