team1,team2,winner,venue,city,date,toss_winner
Punjab Kings,Gujarat Lions,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,2016-04-11,Gujarat Lions
Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Bangalore,2016-04-12,Sunrisers Hyderabad
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Eden Gardens,Kolkata,2016-04-13,Mumbai Indians
Gujarat Lions,Rising Pune Supergiants,Gujarat Lions,Saurashtra Cricket Association Stadium,Rajkot,2016-04-14,Rising Pune Supergiants
Delhi Capitals,Punjab Kings,Delhi Capitals,Feroz Shah Kotla,Delhi,2016-04-15,Delhi Capitals
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2016-04-16,Sunrisers Hyderabad
Mumbai Indians,Gujarat Lions,Gujarat Lions,Wankhede Stadium,Mumbai,2016-04-16,Gujarat Lions
Punjab Kings,Rising Pune Supergiants,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,2016-04-17,Rising Pune Supergiants
Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,M Chinnaswamy Stadium,Bangalore,2016-04-17,Delhi Capitals
Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2016-04-18,Sunrisers Hyderabad
Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,2016-04-19,Kolkata Knight Riders
Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,Wankhede Stadium,Mumbai,2016-04-20,Mumbai Indians
Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Saurashtra Cricket Association Stadium,Rajkot,2016-04-21,Sunrisers Hyderabad
Rising Pune Supergiants,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,Pune,2016-04-22,Rising Pune Supergiants
Delhi Capitals,Mumbai Indians,Delhi Capitals,Feroz Shah Kotla,Delhi,2016-04-23,Mumbai Indians
Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2016-04-23,Sunrisers Hyderabad
Gujarat Lions,Royal Challengers Bengaluru,Gujarat Lions,Saurashtra Cricket Association Stadium,Rajkot,2016-04-24,Royal Challengers Bengaluru
Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Pune,2016-04-24,Kolkata Knight Riders
Punjab Kings,Mumbai Indians,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,2016-04-25,Punjab Kings
Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2016-04-26,Rising Pune Supergiants
Delhi Capitals,Gujarat Lions,Gujarat Lions,Feroz Shah Kotla,Delhi,2016-04-27,Delhi Capitals
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,Mumbai,2016-04-28,Mumbai Indians
Rising Pune Supergiants,Gujarat Lions,Gujarat Lions,Maharashtra Cricket Association Stadium,Pune,2016-04-29,Gujarat Lions
Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,Feroz Shah Kotla,Delhi,2016-04-30,Kolkata Knight Riders
Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2016-04-30,Royal Challengers Bengaluru
Gujarat Lions,Punjab Kings,Punjab Kings,Saurashtra Cricket Association Stadium,Rajkot,2016-05-01,Gujarat Lions
Rising Pune Supergiants,Mumbai Indians,Mumbai Indians,Maharashtra Cricket Association Stadium,Pune,2016-05-01,Mumbai Indians
Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,M Chinnaswamy Stadium,Bangalore,2016-05-02,Kolkata Knight Riders
Gujarat Lions,Delhi Capitals,Delhi Capitals,Saurashtra Cricket Association Stadium,Rajkot,2016-05-03,Delhi Capitals
Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,Eden Gardens,Kolkata,2016-05-04,Punjab Kings
Delhi Capitals,Rising Pune Supergiants,Rising Pune Supergiants,Feroz Shah Kotla,Delhi,2016-05-05,Rising Pune Supergiants
Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2016-05-06,Sunrisers Hyderabad
Royal Challengers Bengaluru,Rising Pune Supergiants,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Bangalore,2016-05-07,Royal Challengers Bengaluru
Punjab Kings,Delhi Capitals,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,2016-05-07,Delhi Capitals
Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,2016-05-08,Mumbai Indians
Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,Eden Gardens,Kolkata,2016-05-08,Gujarat Lions
Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,2016-05-09,Punjab Kings
Rising Pune Supergiants,Sunrisers Hyderabad,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,2016-05-10,Sunrisers Hyderabad
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,2016-05-11,Mumbai Indians
Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2016-05-12,Delhi Capitals
Mumbai Indians,Punjab Kings,Punjab Kings,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,2016-05-13,Mumbai Indians
Royal Challengers Bengaluru,Gujarat Lions,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Bangalore,2016-05-14,Gujarat Lions
Kolkata Knight Riders,Rising Pune Supergiants,Kolkata Knight Riders,Eden Gardens,Kolkata,2016-05-14,Rising Pune Supergiants
Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,2016-05-15,Punjab Kings
Mumbai Indians,Delhi Capitals,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,2016-05-15,Delhi Capitals
Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Eden Gardens,Kolkata,2016-05-16,Royal Challengers Bengaluru
Rising Pune Supergiants,Delhi Capitals,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,2016-05-17,Rising Pune Supergiants
Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Bangalore,2016-05-18,Punjab Kings
Gujarat Lions,Kolkata Knight Riders,Gujarat Lions,Green Park,Kanpur,2016-05-19,Gujarat Lions
Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,Shaheed Veer Narayan Singh International Stadium,Raipur,2016-05-20,Delhi Capitals
Rising Pune Supergiants,Punjab Kings,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,2016-05-21,Punjab Kings
Gujarat Lions,Mumbai Indians,Gujarat Lions,Green Park,Kanpur,2016-05-21,Gujarat Lions
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,Kolkata,2016-05-22,Sunrisers Hyderabad
Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Shaheed Veer Narayan Singh International Stadium,Raipur,2016-05-22,Royal Challengers Bengaluru
Gujarat Lions,Royal Challengers Bengaluru,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Bangalore,2016-05-24,Royal Challengers Bengaluru
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Feroz Shah Kotla,Delhi,2016-05-25,Kolkata Knight Riders
Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Feroz Shah Kotla,Delhi,2016-05-27,Sunrisers Hyderabad
Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,M Chinnaswamy Stadium,Bangalore,2016-05-29,Sunrisers Hyderabad
